,content_strategy_category,medal,op_acq,percent_viewing_subs,content_cost,medal_cost
0,Adult Animation Series (Acq),Bronze,Acq),0.00553378,3780000.0,225000.0
8,Adult Animation Series (Acq),Gold,Acq),0.08806664,16000000.0,16000000.0
10,Adult Animation Series (Acq),Silver,Acq),0.12195723,4136917.8083,3675000.0
13,Adult Animation Series (OP),Bronze,OP),0.012743885,14308887.0,2100000.0
21,Adult Animation Series (OP),Silver,OP),0.077179425,14913000.0,16409250.0
1,Comedy Series (Acq),Bronze,Acq),0.0012488299999999998,13200000.0,225000.0
14,Comedy Series (OP),Bronze,OP),0.007732865,17600000.0,2100000.0
27,Comedy Series (OP),Gold,OP),0.083343785,69800000.0,81650000.0
32,Comedy Series (OP),Platinum,OP),0.17312378,140300000.0,178600000.0
22,Comedy Series (OP),Silver,OP),0.07302226,66900000.0,16409250.0
2,Docu-Movies (Acq),Bronze,Acq),0.0007612000000000001,60000.0,225000.0
15,Docu-Movies (OP),Bronze,OP),0.01237105,1800000.0,2100000.0
23,Docu-Movies (OP),Silver,OP),0.018669215,2000000.0,16409250.0
3,Docu-Series (Acq),Bronze,Acq),0.0039882,420000.0,225000.0
16,Docu-Series (OP),Bronze,OP),0.00697383,3400000.0,2100000.0
28,Docu-Series (OP),Gold,OP),,21800000.0,81650000.0
24,Docu-Series (OP),Silver,OP),0.048001325,5148000.0,16409250.0
4,Drama Series (Acq),Bronze,Acq),0.0047123,101000.0,225000.0
17,Drama Series (OP),Bronze,OP),0.002455685,850908.0,2100000.0
29,Drama Series (OP),Gold,OP),0.12316996,121300000.0,81650000.0
33,Drama Series (OP),Platinum,OP),0.52848694,216900000.0,178600000.0
25,Drama Series (OP),Silver,OP),0.03554303,69800000.0,16409250.0
5,Kids Series (Acq),Bronze,Acq),0.00129964,3681562.5,225000.0
18,Kids Series (OP),Bronze,OP),0.00034026499999999997,2250000.0,2100000.0
6,Movies (Acq),Bronze,Acq),0.002686285,225000.0,225000.0
9,Movies (Acq),Gold,Acq),0.10239017,9660000.0,16000000.0
34,Movies (Acq),Platinum,Acq),0.25133055,33040126.8,33040126.8
11,Movies (Acq),Silver,Acq),0.043424939999999995,3675000.0,3675000.0
19,Movies (OP),Bronze,OP),0.006467085,1200000.0,2100000.0
30,Movies (OP),Gold,OP),0.07086445,3005000.0,81650000.0
35,Specials,Bronze,None,0.0016885049999999999,705750.0,661500.0
36,Specials,Gold,None,0.03027699,5700000.0,5700000.0
7,Unscripted Series (Acq),Bronze,Acq),0.00065752,297500.0,225000.0
12,Unscripted Series (Acq),Silver,Acq),0.07749464,3675000.0,3675000.0
20,Unscripted Series (OP),Bronze,OP),0.0032953599999999998,3307471.0,2100000.0
31,Unscripted Series (OP),Gold,OP),0.14702499,81650000.0,81650000.0
26,Unscripted Series (OP),Silver,OP),0.036463835,6136065.0,16409250.0
