,title_series,legacy_series_id,ckg_series_id,imdb_id,program_type,primary_genre,latam_home_medal,first_release_date,theatrical_date,area_gross,budget,observed_medal
0,65,GZGUWBgT7UMN_dwEAAApT,3d467c4e-90f7-4e71-b226-f4a8e1e97c40,tt12261776,Acquired,Action,Gold,2023-06-15,2023-03-09,1208487.0,45000000.0,
1,A Man Called Otto,GZDZ4jASL83SfmgEAAAdO,266e3ad8-d836-47c9-99cd-4648c2e86c60,tt7405458,Acquired,Drama,Silver,2023-05-11,2023-01-12,352117.0,50000000.0,
5,Beast,GY9X57wXS9wnCZwEAAA43,540c281c-4846-4682-965f-8b13f875c5ec,tt13223398,Acquired,Action,Gold,2023-03-23,2022-08-11,153119.0,36000000.0,
9,Bodies Bodies Bodies,GY7SGbgLrwMPDwgEAAAir,e8841081-a298-47a4-9a0b-e378349ce8e9,tt8110652,Acquired,Comedy,Bronze,2023-02-02,2022-10-06,38030.0,,
10,Book Club: The Next Chapter,GZZ8WQA0mnJaQVgEAACNl,e9a07a0d-58de-4f41-975e-fb2fad9510b0,tt20768712,Acquired,Comedy,,2024-01-25,2023-05-11,403399.0,20000000.0,
11,Bullet Train,GYzxFAgtMKIbCDAEAAAAI,53312aff-69cd-4d9f-ae5c-cda418e2fe24,tt12593682,Acquired,Action,Platinum,2022-12-01,2022-08-04,382723.0,85900000.0,
17,Downton Abbey: A New Era,GY2P_kwDFZcNbkgEAAAEB,d4e8ed03-f175-4214-8339-0901cb260190,tt11703710,Acquired,Drama,Bronze,2022-12-29,2022-04-28,7409.0,40000000.0,
25,Firestarter,GY2P_iQeorcNekQEAAADG,ffdd70bf-d9cd-405a-934d-0c7f5a85b37c,tt1798632,Acquired,Drama,Gold,2023-01-05,2022-05-12,293347.0,12000000.0,
29,Halloween Ends,GZD7dNQ2Xnk6aKQEAAAfu,1cb81816-a0eb-4352-84bc-d15e1521c582,tt10665342,Acquired,Horror,Gold,2023-05-25,2022-10-13,2960606.0,20000000.0,
31,In the Heights,GYK0x7gXCza4OwwEAAADl,7143bd0c-109d-4438-962f-eb610d8bf0ee,tt1321510,Acquired,Drama,Bronze,2021-07-22,2021-06-18,82287.0,55000000.0,
34,Jurassic World Dominion,GY71n7wnDAMLCwwEAAAqQ,87a19520-dc04-452e-bc92-3910f842d811,tt8041270,Acquired,Action,Platinum,2023-01-26,2022-06-02,22531141.0,165000000.0,
39,"Lyle, Lyle Crocodile",GY7SGWQxsZkG9tAEAAAkq,cf0e921c-25b8-49ee-a7c7-5f49dd52ce71,tt14668630,Acquired,Comedy,Gold,2023-02-02,2022-10-20,954418.0,50000000.0,
44,Minions: The Rise of Gru,GY9C_1QW38cPDwgEAAAy-,2c47ae52-0759-47ba-985d-d8613c1a18ae,tt5113044,Acquired,Kids & Family,Gold,2023-02-23,2022-06-30,17630993.0,80000000.0,
45,Missing,GZGOdegTxoEG9tAEAABjf,0dd0c33b-aaba-40cf-b78d-96c5d0f9167e,tt10855768,Acquired,Drama,Silver,2023-06-15,2023-02-23,57036.0,7000000.0,
48,Mrs. Harris Goes to Paris,GZIHoeQqXaZOmPwEAAAyV,44d70775-f7a0-47d4-ad78-1a9fdc11a63a,tt5151570,Acquired,Comedy,Silver,2023-07-06,2022-10-27,198659.0,13000000.0,
49,Mummies,GY-I5Kwq2haaHgQEAAA8n,8e494b1a-a4cb-45a3-a9ad-4db2af112ff2,tt23177868,Acquired,Kids & Family,Silver,2023-04-13,2023-02-23,1509155.0,,
51,Nope,GZAIxggT4Z6KZwgEAAANm,0ff41a56-536b-478f-a538-06047603d104,tt10954984,Acquired,Horror,Gold,2023-04-13,2022-08-25,1157806.0,68000000.0,
54,Red Rocket,GY3KH6wz2Lm6ylwEAAABi,75f806e0-5775-4c81-a37c-5df621a36733,tt13453006,Acquired,Comedy,No Medal,2022-12-22,2022-04-22,8707.0,1100000.0,
66,The Bad Guys,GYyS7mgqkZDKqUgEAAACQ,817e594e-3dbb-4e5d-bc26-4c6a91e6bfe4,tt8115900,Acquired,Comedy,,2022-11-17,2022-03-17,2450624.0,70000000.0,
68,The Black Phone,GY8IU1ANyJ5SgigEAAAtq,7ea0cb89-35ad-4935-b594-686bb4f30e0a,tt7144666,Acquired,Drama,Gold,2023-02-09,2022-06-23,3743765.0,18000000.0,
75,The Invitation,GY-GLBAhzy6aHgQEAAA8b,dc28ce54-a7a2-48ac-ba11-46ed6b50cd44,tt12873562,Acquired,Horror,No Medal,2023-03-16,2022-09-08,709601.0,10000000.0,
78,The Matrix: Resurrections,GYbD1_wnm3mDCwgEAAAPM,59f8d3bb-5c45-431d-80cd-331eafac0b81,tt10838180,Acquired,Action,Platinum,2022-01-27,2021-12-23,1711744.0,190000000.0,
79,The Northman,GY0ojsQI_tbcqtAEAAAA6,d8acb1e4-4983-4b48-a87d-6f47921b80cb,tt11138512,Acquired,Not A Genre,,2022-12-08,2022-04-21,1053274.0,70000000.0,
83,The Suicide Squad,GYTt7RAvZw7gTsAEAAAHi,GYTt7RAvZw7gTsAEAAAHi,tt6334354,Acquired,Action,,2021-09-11,2021-08-05,3774860.0,185000000.0,
85,The Woman King,GZFFX1gMjTLGYsAEAAAj8,42090a0d-bedb-4635-8743-85484f9d0d8d,tt8093700,Acquired,Action,Gold,2023-06-01,2022-09-29,568491.0,50000000.0,
87,Ticket to Paradise,GZD7a-g5Pt8N_dwEAAAet,9dca89df-8659-4758-b58e-f3f26fbdae80,tt14109724,Acquired,Comedy,Gold,2023-05-18,2022-09-15,1287270.0,60000000.0,
